lr,epoch,dim,word_ngrams,accuracy,recall,precision,f1
0.01,30,50,1,0.9705555555555555,0.9606950765411667,0.9731768650461022,0.966895690193629
0.01,40,50,1,0.9707407407407408,0.9606950765411667,0.9735849056603774,0.9670970428987922
0.01,50,50,1,0.9707407407407408,0.9611088125775755,0.9731881022203602,0.9671107410491258
0.01,30,100,1,0.9705555555555555,0.960281340504758,0.9735738255033557,0.9668818996042491
0.01,40,100,1,0.9711111111111111,0.9606950765411667,0.9744020142677298,0.9675
0.01,50,100,1,0.9707407407407408,0.960281340504758,0.9739823751573646,0.9670833333333333
0.01,30,200,1,0.9707407407407408,0.9606950765411667,0.9735849056603774,0.9670970428987922
0.01,40,200,1,0.9707407407407408,0.9606950765411667,0.9735849056603774,0.9670970428987922
0.01,50,200,1,0.970925925925926,0.960281340504758,0.9743912678421495,0.9672848510106272
0.01,30,50,2,0.9618518518518518,0.942076954902772,0.971830985915493,0.9567226890756303
0.01,40,50,2,0.9653703703703703,0.9466280513032685,0.9752770673486786,0.9607390300230947
0.01,50,50,2,0.967037037037037,0.9491104675217211,0.9765857811834824,0.9626521191775074
0.01,30,100,2,0.9622222222222222,0.9433181630119983,0.9714529186195143,0.9571788413098237
0.01,40,100,2,0.9646296296296296,0.9462143152668597,0.9740204429301533,0.9599160545645331
0.01,50,100,2,0.967037037037037,0.9491104675217211,0.9765857811834824,0.9626521191775074
0.01,30,200,2,0.9624074074074074,0.9429044269755896,0.9722696245733788,0.9573618987607645
0.01,40,200,2,0.9648148148148148,0.9466280513032685,0.9740315027671349,0.9601342845153168
0.01,50,200,2,0.9674074074074074,0.9495242035581299,0.9770114942528736,0.9630717582878724
0.01,30,50,3,0.9553703703703704,0.9292511377741002,0.9697754749568221,0.9490809211916332
0.01,40,50,3,0.9598148148148148,0.9358709143566405,0.9733218588640276,0.9542290655979752
0.01,50,50,3,0.9616666666666667,0.9400082747207281,0.9734361610968295,0.9564302252157441
0.01,30,100,3,0.9546296296296296,0.9280099296648738,0.9693171996542783,0.9482139082646375
0.01,40,100,3,0.96,0.936698386429458,0.9729265148259562,0.954468802698145
0.01,50,100,3,0.9618518518518518,0.9408357467935458,0.9730423620025674,0.9566680689945309
0.01,30,200,3,0.9544444444444444,0.9280099296648738,0.9688984881209504,0.9480135249366018
0.01,40,200,3,0.9588888888888889,0.9354571783202317,0.9716373012462398,0.9532040472175379
0.01,50,200,3,0.9614814814814815,0.9395945386843194,0.9734247749678525,0.9562105263157895
0.02,30,50,1,0.9707407407407408,0.9598676044683492,0.9743805123897522,0.9670696123384743
0.02,40,50,1,0.9707407407407408,0.960281340504758,0.9739823751573646,0.9670833333333333
0.02,50,50,1,0.9711111111111111,0.9611088125775755,0.9740041928721174,0.9675135360266556
0.02,30,100,1,0.9711111111111111,0.960281340504758,0.9748005039899202,0.9674864526886202
0.02,40,100,1,0.970925925925926,0.9598676044683492,0.9747899159663865,0.9672712111736502
0.02,50,100,1,0.970925925925926,0.9606950765411667,0.9739932885906041,0.9672984794834409
0.02,30,200,1,0.9711111111111111,0.960281340504758,0.9748005039899202,0.9674864526886202
0.02,40,200,1,0.9712962962962963,0.9615225486139842,0.9740150880134115,0.9677285030189465
0.02,50,200,1,0.9705555555555555,0.9598676044683492,0.9739714525608733,0.9668680975203168
0.02,30,50,2,0.967037037037037,0.9495242035581299,0.9761803487877498,0.9626677852348994
0.02,40,50,2,0.9681481481481482,0.9520066197765825,0.976240984302079,0.9639715123586091
0.02,50,50,2,0.9683333333333334,0.9520066197765825,0.9766553480475382,0.9641734758013828
0.02,30,100,2,0.9675925925925926,0.9503516756309475,0.9766156462585034,0.9633046760327113
0.02,40,100,2,0.9683333333333334,0.9520066197765825,0.9766553480475382,0.9641734758013828
0.02,50,100,2,0.9687037037037037,0.9524203558129913,0.9770797962648556,0.9645924994762204
0.02,30,200,2,0.9677777777777777,0.9503516756309475,0.9770310506167589,0.9635067114093959
0.02,40,200,2,0.9681481481481482,0.9515928837401738,0.9766454352441614,0.9639564124057
0.02,50,200,2,0.9688888888888889,0.9528340918494,0.9770895205770047,0.9648093841642229
0.02,30,50,3,0.9627777777777777,0.9424906909391808,0.9735042735042735,0.9577464788732394
0.02,40,50,3,0.9638888888888889,0.9453868431940422,0.9731686541737649,0.9590766002098636
0.02,50,50,3,0.9651851851851851,0.9470417873396773,0.9744572158365262,0.9605539236256819
0.02,30,100,3,0.9629629629629629,0.9433181630119983,0.9731113956466069,0.957983193277311
0.02,40,100,3,0.9648148148148148,0.9462143152668597,0.9744354495100128,0.9601175482787574
0.02,50,100,3,0.9653703703703703,0.9478692594124948,0.9740646258503401,0.9607884252463829
0.02,30,200,3,0.9627777777777777,0.9429044269755896,0.9730999146029035,0.9577642361840722
0.02,40,200,3,0.9640740740740741,0.9462143152668597,0.9727775414717141,0.9593120805369127
0.02,50,200,3,0.9651851851851851,0.9474555233760861,0.9740535942152275,0.9605704697986577
0.05,30,50,1,0.970925925925926,0.961936284650393,0.9728033472803347,0.9673392968587476
0.05,40,50,1,0.9696296296296296,0.9594538684319405,0.9723270440251572,0.965847563515202
0.05,50,50,1,0.9705555555555555,0.9606950765411667,0.9731768650461022,0.966895690193629
0.05,30,100,1,0.9711111111111111,0.9615225486139842,0.9736070381231672,0.9675270607826811
0.05,40,100,1,0.9698148148148148,0.9594538684319405,0.972734899328859,0.9660487398458655
0.05,50,100,1,0.970925925925926,0.9615225486139842,0.9731993299832495,0.9673257023933403
0.05,30,200,1,0.970925925925926,0.9615225486139842,0.9731993299832495,0.9673257023933403
0.05,40,200,1,0.9703703703703703,0.9606950765411667,0.9727691663175534,0.9666944213155704
0.05,50,200,1,0.9705555555555555,0.960281340504758,0.9735738255033557,0.9668818996042491
0.05,30,50,2,0.9690740740740741,0.9532478278858089,0.9770992366412213,0.9650261780104712
0.05,40,50,2,0.9690740740740741,0.9540752999586264,0.9762912785774767,0.9650554509311572
0.05,50,50,2,0.9690740740740741,0.9540752999586264,0.9762912785774767,0.9650554509311572
0.05,30,100,2,0.9688888888888889,0.9528340918494,0.9770895205770047,0.9648093841642229
0.05,40,100,2,0.9687037037037037,0.9528340918494,0.9766751484308737,0.964607329842932
0.05,50,100,2,0.9688888888888889,0.9536615639222176,0.976281236764083,0.9648388447048974
0.05,30,200,2,0.9688888888888889,0.9532478278858089,0.976685036032217,0.964824120603015
0.05,40,200,2,0.9688888888888889,0.9532478278858089,0.976685036032217,0.964824120603015
0.05,50,200,2,0.9692592592592593,0.9540752999586264,0.9767047861075815,0.965257429886982
0.05,30,50,3,0.9662962962962963,0.9491104675217211,0.9749256268593285,0.9618448637316562
0.05,40,50,3,0.9666666666666667,0.9495242035581299,0.9753506162345942,0.9622641509433962
0.05,50,50,3,0.9672222222222222,0.9499379395945386,0.9761904761904762,0.9628853009016566
0.05,30,100,3,0.9666666666666667,0.9499379395945386,0.9749469214437367,0.9622799664710813
0.05,40,100,3,0.9668518518518519,0.9499379395945386,0.9753610875106202,0.962481660029344
0.05,50,100,3,0.967037037037037,0.9507654116673562,0.9749681798896903,0.9627147046501885
0.05,30,200,3,0.9668518518518519,0.9499379395945386,0.9753610875106202,0.962481660029344
0.05,40,200,3,0.967037037037037,0.9503516756309475,0.9753715498938429,0.962699077954736
0.05,50,200,3,0.967037037037037,0.9503516756309475,0.9753715498938429,0.962699077954736
0.1,30,50,1,0.970925925925926,0.9598676044683492,0.9747899159663865,0.9672712111736502
0.1,40,50,1,0.9712962962962963,0.961936284650393,0.9736180904522613,0.967741935483871
0.1,50,50,1,0.9716666666666667,0.960281340504758,0.9760302775441547,0.9680917622523462
0.1,30,100,1,0.9714814814814815,0.960281340504758,0.9756200084068937,0.9678899082568807
0.1,40,100,1,0.9701851851851852,0.9586263963591228,0.9743481917577796,0.9664233576642336
0.1,50,100,1,0.9718518518518519,0.9615225486139842,0.9752412924884599,0.9683333333333334
0.1,30,200,1,0.9718518518518519,0.960281340504758,0.9764408918805216,0.968293700458907
0.1,40,200,1,0.9712962962962963,0.9611088125775755,0.9744127516778524,0.9677150593626328
0.1,50,200,1,0.970925925925926,0.9590401323955317,0.9755892255892256,0.9672438973503025
0.1,30,50,2,0.9698148148148148,0.9549027720314439,0.9771380186282811,0.9658924461184348
0.1,40,50,2,0.9694444444444444,0.9549027720314439,0.9763113367174281,0.965488391549885
0.1,50,50,2,0.9694444444444444,0.9549027720314439,0.9763113367174281,0.965488391549885
0.1,30,100,2,0.9698148148148148,0.9549027720314439,0.9771380186282811,0.9658924461184348
0.1,40,100,2,0.9696296296296296,0.9553165080678527,0.9763213530655391,0.9657047260560435
0.1,50,100,2,0.9698148148148148,0.9549027720314439,0.9771380186282811,0.9658924461184348
0.1,30,200,2,0.9690740740740741,0.9540752999586264,0.9762912785774767,0.9650554509311572
0.1,40,200,2,0.97,0.9549027720314439,0.9775518847945786,0.9660946002511511
0.1,50,200,2,0.9696296296296296,0.9549027720314439,0.9767245027507406,0.9656903765690377
0.1,30,50,3,0.9668518518518519,0.9499379395945386,0.9753610875106202,0.962481660029344
0.1,40,50,3,0.9672222222222222,0.9503516756309475,0.975785896346644,0.962900859358625
0.1,50,50,3,0.9668518518518519,0.9495242035581299,0.9757653061224489,0.9624659257706017
0.1,30,100,3,0.9675925925925926,0.951179147703765,0.9758064516129032,0.9633354284517075
0.1,40,100,3,0.9672222222222222,0.9507654116673562,0.9753820033955858,0.9629164047768699
0.1,50,100,3,0.9674074074074074,0.951179147703765,0.9753924480271532,0.9631336405529954
0.1,30,200,3,0.9675925925925926,0.9507654116673562,0.9762107051826678,0.963320058687906
0.1,40,200,3,0.9672222222222222,0.9503516756309475,0.975785896346644,0.962900859358625
0.1,50,200,3,0.9672222222222222,0.951179147703765,0.9749787955894826,0.9629319371727749
0.2,30,50,1,0.9725925925925926,0.9635912287960281,0.9748848890749268,0.9692051602163961
0.2,40,50,1,0.9722222222222222,0.9623500206868019,0.9752620545073375,0.9687630154102457
0.2,50,50,1,0.9718518518518519,0.9615225486139842,0.9752412924884599,0.9683333333333334
0.2,30,100,1,0.972037037037037,0.9606950765411667,0.9764507989907485,0.9685088633993744
0.2,40,100,1,0.9722222222222222,0.9615225486139842,0.9760604787904242,0.968736973739058
0.2,50,100,1,0.9729629629629629,0.9631774927596194,0.9761006289308176,0.9695960016659725
0.2,30,200,1,0.9718518518518519,0.961936284650393,0.9748427672955975,0.9683465222823824
0.2,40,200,1,0.972037037037037,0.9623500206868019,0.9748533109807209,0.968561315844264
0.2,50,200,1,0.9722222222222222,0.9615225486139842,0.9760604787904242,0.968736973739058
0.2,30,50,2,0.9712962962962963,0.9569714522134878,0.9784263959390863,0.9675800041832253
0.2,40,50,2,0.9716666666666667,0.9586263963591228,0.9776371308016878,0.9680384374347191
0.2,50,50,2,0.9711111111111111,0.9577989242863053,0.9772055719712959,0.9674049310488926
0.2,30,100,2,0.970925925925926,0.9573851882498966,0.9771959459459459,0.9671891327063741
0.2,40,100,2,0.9701851851851852,0.9565577161770791,0.9763513513513513,0.9663531870428422
0.2,50,100,2,0.9712962962962963,0.9577989242863053,0.9776182432432432,0.96760710553814
0.2,30,200,2,0.9698148148148148,0.9573851882498966,0.974726200505476,0.9659778751826341
0.2,40,200,2,0.9707407407407408,0.9569714522134878,0.9771863117870723,0.9669732441471572
0.2,50,200,2,0.970925925925926,0.9586263963591228,0.9759898904802022,0.9672302233354205
0.2,30,50,3,0.9677777777777777,0.9532478278858089,0.9742071881606765,0.9636135508155583
0.2,40,50,3,0.9681481481481482,0.9528340918494,0.975434138077086,0.9640016743407284
0.2,50,50,3,0.9681481481481482,0.9532478278858089,0.9750317393144308,0.9640167364016736
0.2,30,100,3,0.9683333333333334,0.9544890359950352,0.9742398648648649,0.9642633228840125
0.2,40,100,3,0.9683333333333334,0.9532478278858089,0.9754445385266723,0.9642184557438794
0.2,50,100,3,0.9688888888888889,0.9553165080678527,0.9746728577458843,0.9648976180526536
0.2,30,200,3,0.9692592592592593,0.9536615639222176,0.9771089444679949,0.9652428810720268
0.2,40,200,3,0.9683333333333334,0.9532478278858089,0.9754445385266723,0.9642184557438794
0.2,50,200,3,0.9683333333333334,0.9532478278858089,0.9754445385266723,0.9642184557438794
